Output Test Report
PASSED | create_asks_for_new_username
PASSED | create_asks_for_user_type
PASSED | create_ignores_whitespace
PASSED | create_max_username_length
PASSED | create_min_username_length
PASSED | create_verifies_username_unique
PASSED | create_verifies_username_valid
PASSED | create_verifies_user_type
PASSED | must_be_admin_to_create
PASSED | must_be_logged_in_to_create
PASSED | usernames_case_sensitive
PASSED | cannot_delete_admin
PASSED | cannot_delete_self
PASSED | cannot_delete_unknown_users
PASSED | delete_asks_for_username
PASSED | delete_ignores_whitespace
PASSED | must_be_admin_to_delete
PASSED | must_be_logged_in_to_delete
PASSED | prompt_for_valid_input
PASSED | cannot_login_twice
PASSED | login_whitespace_ignored
PASSED | prompt_for_username_on_login
PASSED | verify_user_exists
PASSED | cannot_logout_during_create
PASSED | cannot_logout_during_delete
PASSED | cannot_logout_during_post
PASSED | cannot_logout_during_rent
PASSED | cannot_logout_during_search
PASSED | must_be_logged_in_to_logout
PASSED | transactions_written_on_logout
PASSED | write_to_same_transaction_file
PASSED | cannot_rent_from_deleted_users
PASSED | deleted_users_cannot_login
PASSED | hide_deleted_users_rentals
PASSED | new_listings_not_rentable
PASSED | new_listings_not_searchable
PASSED | newly_rented_units_not_rentable
PASSED | newly_rented_units_not_searchable
PASSED | cities_case_sentitive
PASSED | cities_max_25_characters
PASSED | cities_min_1_character
PASSED | must_be_logged_in_to_post
PASSED | num_bedrooms_integer
PASSED | post_assigned_alphanumeric_id
PASSED | post_ignores_whitespace
PASSED | post_maximum_bedrooms
PASSED | post_maximum_price
PASSED | post_minimum_bedrooms
PASSED | post_minimum_price
PASSED | rental_prices_numeric
PASSED | rent_standard_cannot_post
PASSED | valid_city_format
PASSED | cannot_quit_during_create
PASSED | cannot_quit_during_delete
PASSED | cannot_quit_during_post
PASSED | cannot_quit_during_rent
PASSED | cannot_quit_during_search
PASSED | must_logout_before_quit
PASSED | writes_eos_code_to_file
PASSED | accepts_valid_rentals
PASSED | can_cancel_rental
PASSED | cant_rent_own_posting
PASSED | fourteen_days_max_rental
PASSED | must_be_logged_in_to_rent
PASSED | post_standard_cannot_rent
PASSED | reject_rent_when_no_rentals
PASSED | reject_rent_when_nothing_to_rent
PASSED | rent_ignores_whitespace
PASSED | verify_num_nights_is_integer
PASSED | verify_num_nights_is_numeric
PASSED | verify_num_nights_is_positive
PASSED | verify_rental_available
PASSED | verify_rental_exists
PASSED | allow_bedrooms_wildcard
PASSED | allow_float_during_search
PASSED | allow_max_price_wildcard
PASSED | allow_negative_bedrooms
PASSED | handle_long_search_input
PASSED | handle_no_search_results
PASSED | must_be_logged_in_to_search
PASSED | rented_units_not_searchable
PASSED | search_city_wildcard
PASSED | search_filters_by_bedrooms
PASSED | search_filters_by_city
PASSED | search_filters_by_price
PASSED | search_ignores_whitespace
PASSED | valid_max_price_during_search
PASSED | valid_min_bedroom_during_search
Total Tests: 88
Tests Passed: 88
